timestamp,total_load_101[kW],hvac_load_101[kW],wh_load_101[kW],total_load_102[kW],hvac_load_102[kW],wh_load_102[kW],total_load_103[kW],hvac_load_103[kW],wh_load_103[kW],total_load_201[kW],hvac_load_201[kW],wh_load_201[kW],total_load_202[kW],hvac_load_202[kW],wh_load_202[kW],total_load_203[kW],hvac_load_203[kW],wh_load_203[kW],total_load_301[kW],hvac_load_301[kW],wh_load_301[kW],total_load_302[kW],hvac_load_302[kW],wh_load_302[kW],total_load_303[kW],hvac_load_303[kW],wh_load_303[kW]
2020-01-30 00:00:00 EST,71.0081,0.0,67.2595,57.5555,0.0,53.8062,66.5373,0.0,62.7885,66.5172,0.0,62.7684,119.95100000000001,0.0,116.205,57.5756,0.0,53.8264,53.1183,0.0,49.3687,57.5756,0.0,53.8264,44.1499,0.0,40.3999
2020-01-30 00:00:30 EST,71.0081,0.0,67.2595,60.8646,3.3635900000000003,53.8062,72.6698,6.203790000000001,62.7885,72.67,6.20506,62.7684,119.95100000000001,0.0,116.205,57.5756,0.0,53.8264,53.1183,0.0,49.3687,65.9852,8.516919999999999,53.8264,47.5073,3.3666,40.3999
2020-01-30 00:01:00 EST,71.0081,0.0,67.2595,60.8643,3.3622300000000003,53.7533,79.297,12.9272,62.72,72.6696,6.2026900000000005,62.718999999999994,123.228,3.36134,116.205,60.9247,3.36586,53.8264,57.5958,0.0,53.8599,72.6288,15.2382,53.7243,50.8619,6.730460000000001,40.3924
2020-01-30 00:01:30 EST,74.3331,3.36436,67.2595,60.8643,3.3622300000000003,53.7533,82.6074,16.2814,62.6293,75.4803,9.04107,62.718999999999994,126.50200000000001,6.72043,116.12200000000001,64.2416,6.72859,53.8112,63.7481,6.204619999999999,53.8465,75.4226,18.069000000000003,53.6488,50.8619,6.7282,40.3848
2020-01-30 00:02:00 EST,83.7998,12.93,67.2217,64.2049,6.7271,53.7533,78.1731,16.2759,58.132,78.8185,12.4028,62.6935,126.50200000000001,6.717689999999999,116.039,70.3505,12.9268,53.7659,63.7477,6.20224,53.7971,86.5749,24.7924,58.1049,54.1942,10.0923,40.3848
2020-01-30 00:02:30 EST,83.7998,12.9237,67.1294,70.8601,13.4536,53.7307,72.0258,19.1129,49.1883,85.4557,19.1264,62.6708,129.827,10.0818,116.039,68.7217,15.76,49.2227,70.4171,12.9299,53.7971,89.9134,28.1516,58.042,54.1942,10.0912,40.3546
2020-01-30 00:03:00 EST,88.7959,22.485,62.6589,70.8591,13.4492,53.6627,75.3382,22.4666,49.1697,87.1332,25.3194,58.1105,120.991,10.0799,107.103,67.0483,18.5976,44.7271,65.9468,12.9246,49.266999999999996,93.2374,31.5084,58.0193,60.8562,16.8181,40.3546
2020-01-30 00:03:30 EST,84.3399,22.4792,58.0977,70.8591,13.4492,53.6627,72.6001,28.6633,40.2027,85.4806,28.1505,53.6041,120.991,10.0819,107.164,67.0483,18.5965,44.7049,61.476000000000006,12.9255,44.7893,93.2374,31.5041,57.9891,56.3868,16.8147,35.8139
2020-01-30 00:04:00 EST,88.7873,22.478,62.5819,70.8581,13.4482,53.6627,75.9422,32.0247,40.1907,83.8339,30.9826,49.1188,115.42,13.4437,98.2192,67.0469,18.5951,44.7049,61.475,12.9245,44.8027,75.4615,31.5017,40.1673,51.9241,16.8139,31.3513
2020-01-30 00:04:30 EST,88.7873,22.4767,62.5652,57.4579,13.4482,40.2296,67.0425,32.0214,31.2579,82.7142,34.3406,44.6577,102.087,13.4424,84.8331,68.2125,24.2693,40.2299,52.5215,12.9245,35.8344,66.5484,31.5089,31.2833,51.9241,16.8149,31.3613
