timestamp,inv_supernode_102_solar:VA_Out.real[kW],inv_supernode_202_solar:VA_Out.real[kW],inv_supernode_302_solar:VA_Out.real[kW]
2020-01-30 00:00:00 EST,0,0,0
2020-01-30 00:00:30 EST,0,0,0
2020-01-30 00:01:00 EST,0,0,0
2020-01-30 00:01:30 EST,0,0,0
2020-01-30 00:02:00 EST,0,0,0
2020-01-30 00:02:30 EST,0,0,0
2020-01-30 00:03:00 EST,0,0,0
2020-01-30 00:03:30 EST,0,0,0
2020-01-30 00:04:00 EST,0,0,0
2020-01-30 00:04:30 EST,0,0,0
2020-01-30 00:05:00 EST,0,0,0
2020-01-30 00:05:30 EST,0,0,0
2020-01-30 00:06:00 EST,0,0,0
2020-01-30 00:06:30 EST,0,0,0
2020-01-30 00:07:00 EST,0,0,0
2020-01-30 00:07:30 EST,0,0,0
2020-01-30 00:08:00 EST,0,0,0
2020-01-30 00:08:30 EST,0,0,0
2020-01-30 00:09:00 EST,0,0,0
2020-01-30 00:09:30 EST,0,0,0
2020-01-30 00:10:00 EST,0,0,0
2020-01-30 00:10:30 EST,0,0,0
2020-01-30 00:11:00 EST,0,0,0
2020-01-30 00:11:30 EST,0,0,0
2020-01-30 00:12:00 EST,0,0,0
2020-01-30 00:12:30 EST,0,0,0
2020-01-30 00:13:00 EST,0,0,0
2020-01-30 00:13:30 EST,0,0,0
2020-01-30 00:14:00 EST,0,0,0
2020-01-30 00:14:30 EST,0,0,0
2020-01-30 00:15:00 EST,0,0,0
2020-01-30 00:15:30 EST,0,0,0
2020-01-30 00:16:00 EST,0,0,0
2020-01-30 00:16:30 EST,0,0,0
2020-01-30 00:17:00 EST,0,0,0
2020-01-30 00:17:30 EST,0,0,0
2020-01-30 00:18:00 EST,0,0,0
2020-01-30 00:18:30 EST,0,0,0
2020-01-30 00:19:00 EST,0,0,0
2020-01-30 00:19:30 EST,0,0,0
2020-01-30 00:20:00 EST,0,0,0
2020-01-30 00:20:30 EST,0,0,0
2020-01-30 00:21:00 EST,0,0,0
2020-01-30 00:21:30 EST,0,0,0
2020-01-30 00:22:00 EST,0,0,0
2020-01-30 00:22:30 EST,0,0,0
2020-01-30 00:23:00 EST,0,0,0
2020-01-30 00:23:30 EST,0,0,0
2020-01-30 00:24:00 EST,0,0,0
2020-01-30 00:24:30 EST,0,0,0
2020-01-30 00:25:00 EST,0,0,0
2020-01-30 00:25:30 EST,0,0,0
2020-01-30 00:26:00 EST,0,0,0
2020-01-30 00:26:30 EST,0,0,0
2020-01-30 00:27:00 EST,0,0,0
2020-01-30 00:27:30 EST,0,0,0
2020-01-30 00:28:00 EST,0,0,0
2020-01-30 00:28:30 EST,0,0,0
2020-01-30 00:29:00 EST,0,0,0
2020-01-30 00:29:30 EST,0,0,0
2020-01-30 00:30:00 EST,0,0,0
2020-01-30 00:30:30 EST,0,0,0
2020-01-30 00:31:00 EST,0,0,0
2020-01-30 00:31:30 EST,0,0,0
2020-01-30 00:32:00 EST,0,0,0
2020-01-30 00:32:30 EST,0,0,0
2020-01-30 00:33:00 EST,0,0,0
2020-01-30 00:33:30 EST,0,0,0
2020-01-30 00:34:00 EST,0,0,0
2020-01-30 00:34:30 EST,0,0,0
2020-01-30 00:35:00 EST,0,0,0
2020-01-30 00:35:30 EST,0,0,0
2020-01-30 00:36:00 EST,0,0,0
2020-01-30 00:36:30 EST,0,0,0
2020-01-30 00:37:00 EST,0,0,0
2020-01-30 00:37:30 EST,0,0,0
2020-01-30 00:38:00 EST,0,0,0
2020-01-30 00:38:30 EST,0,0,0
2020-01-30 00:39:00 EST,0,0,0
2020-01-30 00:39:30 EST,0,0,0
2020-01-30 00:40:00 EST,0,0,0
2020-01-30 00:40:30 EST,0,0,0
2020-01-30 00:41:00 EST,0,0,0
2020-01-30 00:41:30 EST,0,0,0
2020-01-30 00:42:00 EST,0,0,0
2020-01-30 00:42:30 EST,0,0,0
2020-01-30 00:43:00 EST,0,0,0
2020-01-30 00:43:30 EST,0,0,0
2020-01-30 00:44:00 EST,0,0,0
2020-01-30 00:44:30 EST,0,0,0
2020-01-30 00:45:00 EST,0,0,0
2020-01-30 00:45:30 EST,0,0,0
2020-01-30 00:46:00 EST,0,0,0
2020-01-30 00:46:30 EST,0,0,0
2020-01-30 00:47:00 EST,0,0,0
2020-01-30 00:47:30 EST,0,0,0
2020-01-30 00:48:00 EST,0,0,0
2020-01-30 00:48:30 EST,0,0,0
2020-01-30 00:49:00 EST,0,0,0
2020-01-30 00:49:30 EST,0,0,0
2020-01-30 00:50:00 EST,0,0,0
2020-01-30 00:50:30 EST,0,0,0
2020-01-30 00:51:00 EST,0,0,0
2020-01-30 00:51:30 EST,0,0,0
2020-01-30 00:52:00 EST,0,0,0
2020-01-30 00:52:30 EST,0,0,0
2020-01-30 00:53:00 EST,0,0,0
2020-01-30 00:53:30 EST,0,0,0
2020-01-30 00:54:00 EST,0,0,0
2020-01-30 00:54:30 EST,0,0,0
2020-01-30 00:55:00 EST,0,0,0
2020-01-30 00:55:30 EST,0,0,0
2020-01-30 00:56:00 EST,0,0,0
2020-01-30 00:56:30 EST,0,0,0
2020-01-30 00:57:00 EST,0,0,0
2020-01-30 00:57:30 EST,0,0,0
2020-01-30 00:58:00 EST,0,0,0
2020-01-30 00:58:30 EST,0,0,0
2020-01-30 00:59:00 EST,0,0,0
2020-01-30 00:59:30 EST,0,0,0
2020-01-30 01:00:00 EST,0,0,0
2020-01-30 01:00:30 EST,0,0,0
2020-01-30 01:01:00 EST,0,0,0
2020-01-30 01:01:30 EST,0,0,0
2020-01-30 01:02:00 EST,0,0,0
2020-01-30 01:02:30 EST,0,0,0
2020-01-30 01:03:00 EST,0,0,0
2020-01-30 01:03:30 EST,0,0,0
2020-01-30 01:04:00 EST,0,0,0
2020-01-30 01:04:30 EST,0,0,0
2020-01-30 01:05:00 EST,0,0,0
2020-01-30 01:05:30 EST,0,0,0
2020-01-30 01:06:00 EST,0,0,0
2020-01-30 01:06:30 EST,0,0,0
2020-01-30 01:07:00 EST,0,0,0
2020-01-30 01:07:30 EST,0,0,0
2020-01-30 01:08:00 EST,0,0,0
2020-01-30 01:08:30 EST,0,0,0
2020-01-30 01:09:00 EST,0,0,0
2020-01-30 01:09:30 EST,0,0,0
2020-01-30 01:10:00 EST,0,0,0
2020-01-30 01:10:30 EST,0,0,0
2020-01-30 01:11:00 EST,0,0,0
2020-01-30 01:11:30 EST,0,0,0
2020-01-30 01:12:00 EST,0,0,0
2020-01-30 01:12:30 EST,0,0,0
2020-01-30 01:13:00 EST,0,0,0
2020-01-30 01:13:30 EST,0,0,0
2020-01-30 01:14:00 EST,0,0,0
2020-01-30 01:14:30 EST,0,0,0
2020-01-30 01:15:00 EST,0,0,0
2020-01-30 01:15:30 EST,0,0,0
2020-01-30 01:16:00 EST,0,0,0
2020-01-30 01:16:30 EST,0,0,0
2020-01-30 01:17:00 EST,0,0,0
2020-01-30 01:17:30 EST,0,0,0
2020-01-30 01:18:00 EST,0,0,0
2020-01-30 01:18:30 EST,0,0,0
2020-01-30 01:19:00 EST,0,0,0
2020-01-30 01:19:30 EST,0,0,0
2020-01-30 01:20:00 EST,0,0,0
2020-01-30 01:20:30 EST,0,0,0
2020-01-30 01:21:00 EST,0,0,0
2020-01-30 01:21:30 EST,0,0,0
2020-01-30 01:22:00 EST,0,0,0
2020-01-30 01:22:30 EST,0,0,0
2020-01-30 01:23:00 EST,0,0,0
2020-01-30 01:23:30 EST,0,0,0
2020-01-30 01:24:00 EST,0,0,0
2020-01-30 01:24:30 EST,0,0,0
